sentence,arrival,departure,nlp_tuple
Comment me rendre à Hoenheim Tram depuis la gare de Villiers-le-Bel - Gonesse - Arnouville ?,Hoenheim Tram,Villiers-le-Bel - Gonesse - Arnouville,"('Comment me rendre à Hoenheim Tram depuis la gare de Villiers-le-Bel - Gonesse - Arnouville ?', {'entities': [(20, 33, 'ARR'), (52, 90, 'DEP')]})"
Il y a-t-il des trains de Rungis La Fraternelle à Villabé,Villabé,Rungis La Fraternelle,"('Il y a-t-il des trains de Rungis La Fraternelle à Villabé', {'entities': [(50, 57, 'ARR'), (26, 47, 'DEP')]})"
depuis Le Bruel je veux aller a Gauriaguet pour boire un monaco.,Gauriaguet,Le Bruel,"('depuis Le Bruel je veux aller a Gauriaguet pour boire un monaco.', {'entities': [(32, 42, 'ARR'), (7, 15, 'DEP')]})"
je veux faire Monsempron-Libos Limoges Bénédictins,Limoges Bénédictins,Monsempron-Libos,"('je veux faire Monsempron-Libos Limoges Bénédictins', {'entities': [(31, 50, 'ARR'), (14, 30, 'DEP')]})"
Je veux aller voir mon ami Albert à Wallers en partant de Tournay,Wallers,Tournay,"('Je veux aller voir mon ami Albert à Wallers en partant de Tournay', {'entities': [(36, 43, 'ARR'), (58, 65, 'DEP')]})"
je voudrais aller de Les Abrets - Fitilieu à Ballan-Miré,Ballan-Miré,Les Abrets - Fitilieu,"('je voudrais aller de Les Abrets - Fitilieu à Ballan-Miré', {'entities': [(45, 56, 'ARR'), (21, 42, 'DEP')]})"
depuis Lauterbourg je veux aller a L'Etang les Sablons pour boire un monaco.,L'Etang les Sablons,Lauterbourg,"(""depuis Lauterbourg je veux aller a L'Etang les Sablons pour boire un monaco."", {'entities': [(35, 54, 'ARR'), (7, 18, 'DEP')]})"
depuis Pont-de-l'Arche je veux aller a Les Quatre Roues pour boire un monaco.,Les Quatre Roues,Pont-de-l'Arche,"(""depuis Pont-de-l'Arche je veux aller a Les Quatre Roues pour boire un monaco."", {'entities': [(39, 55, 'ARR'), (7, 22, 'DEP')]})"
Comment me rendre à La Ferté-Saint-Aubin depuis la gare de Chaux-des-Crotenay ?,La Ferté-Saint-Aubin,Chaux-des-Crotenay,"('Comment me rendre à La Ferté-Saint-Aubin depuis la gare de Chaux-des-Crotenay ?', {'entities': [(20, 40, 'ARR'), (59, 77, 'DEP')]})"
Comment me rendre à Aubergenville Élisabethville depuis la gare de Chinon ?,Aubergenville Élisabethville,Chinon,"('Comment me rendre à Aubergenville Élisabethville depuis la gare de Chinon ?', {'entities': [(20, 48, 'ARR'), (67, 73, 'DEP')]})"
